table_name,code,code_system,display,row_count,distinct_patient_count
condition,66383009,http://snomed.info/sct,Gingivitis (disorder),30602,15074
condition,422650009,http://snomed.info/sct,Social isolation (finding),22883,10057
condition,706893006,http://snomed.info/sct,Victim of intimate partner abuse (finding),15044,8499
condition,271737000,http://snomed.info/sct,Anemia (disorder),7111,7111
condition,59621000,http://snomed.info/sct,Essential hypertension (disorder),5177,5177
condition,82423001,http://snomed.info/sct,Chronic pain (finding),4098,4098
condition,237602007,http://snomed.info/sct,Metabolic syndrome X (disorder),3680,3680
condition,125605004,http://snomed.info/sct,Fracture of bone (disorder),3619,3183
condition,127013003,http://snomed.info/sct,Disorder of kidney due to diabetes mellitus (disorder),2622,2622
condition,384709000,http://snomed.info/sct,Sprain (morphologic abnormality),2714,2521
condition,105531004,http://snomed.info/sct,Housing unsatisfactory (finding),2291,2291
condition,399261000,http://snomed.info/sct,History of coronary artery bypass grafting (situation),2133,2133
condition,267020005,http://snomed.info/sct,History of tubal ligation (situation),2024,2024
condition,44465007,http://snomed.info/sct,Sprain of ankle (disorder),1903,1813
condition,307426000,http://snomed.info/sct,Acute infective cystitis (disorder),1760,1649
condition,266934004,http://snomed.info/sct,Transport problem (finding),1578,1578
condition,399211009,http://snomed.info/sct,History of myocardial infarction (situation),1438,1438
condition,110030002,http://snomed.info/sct,Concussion injury of brain (disorder),1367,1324
condition,1187604002,http://snomed.info/sct,Serving in military service (finding),1150,1150
condition,36971009,http://snomed.info/sct,Sinusitis (disorder),1085,1060
condition,698306007,http://snomed.info/sct,Awaiting transplantation of kidney (situation),993,993
condition,49727002,http://snomed.info/sct,Cough (finding),970,970
condition,39898005,http://snomed.info/sct,Sleep disorder (disorder),958,958
condition,428251008,http://snomed.info/sct,History of appendectomy (situation),903,903
condition,39848009,http://snomed.info/sct,Whiplash injury to neck (disorder),900,878
condition,70704007,http://snomed.info/sct,Sprain of wrist (disorder),811,793
condition,58150001,http://snomed.info/sct,Fracture of clavicle (disorder),781,761
